#Platform	Dataset	Callset	vcfAll	callableBed	annotationsFile	remapped_HG002_HG003_HG004_allsvs_merged.bed	AllRepeats_gt200bp_gt95identity_merged.bed.gz	hg38_self_chain_withalts_gt10k.bed.gz	SimpleRepeat_imperfecthomopolgt10_slop5.bed	remapped_superdupsmerged_all_sort.bed	AllRepeats_lt51bp_gt95identity_merged.bed.gz	AllRepeats_51to200bp_gt95identity_merged.bed.gz
Illumina	HiSeqPE300x	HiSeqPE300xSentieon	HG002_12_GRCh38_novoalign_Ilmn150bp300X_sentieonHC.vcf.gz	HG002_12_GRCh38_novoalign_Ilmn150bp300X_sentieonHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	0	1	0	0
CG	CGnormal	CGnormal	HG002_12_convGRCh38_CG_vcfBeta-GS000037263-ASM.vcf.gz	HG002_12_convGRCh38_CG_vcfBeta-GS000037263-ASM.bed	CG_Annotations_160408.txt	1	1	1	1	1	0	1
Illumina	HiSeqPE300x	HiSeqPE300xfreebayes	HG002_12_GRCh38_novoalign_Ilmn150bp300X_FB.vcf.gz	HG002_12_GRCh38_novoalign_Ilmn150bp300x_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250Sentieon	HG002_12_GRCh38_novoalign_Ilmn250x250_sentieonHC.vcf.gz	HG002_12_GRCh38_novoalign_Ilmn250x250_sentieonHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	0	1	0	0
Illumina	HiSeq250x250	HiSeq250x250freebayes	HG002_12_GRCh38_novoalign_Ilmn250x250_FB.vcf.gz	HG002_12_GRCh38_novoalign_Ilmn250x250_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1
10X	10XChromium	10XSentieonhaplo	HG002_12_GRCh38_10X_sentieonHCbyhaplo.vcf.gz	HG002_12_GRCh38_10X_sentieonHCbyhaplo_callable.bed	GATK_Annotations_160509.txt	1	1	0	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairSentieon	HG002_12_GRCh38_bwa_mem_IlmnMatePair_sentieonHC.vcf.gz	HG002_12_GRCh38_bwa_mem_IlmnMatePair_sentieonHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairfreebayes	HG002_12_GRCh38_bwa_mem_IlmnMatePair_FB.vcf.gz	HG002_12_GRCh38_bwa_mem_IlmnMatePair_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1
Ion	IonExome	IonExomeTVC	HG002_12_convGRCh38_Ion_AmpliseqExome.20141120.NA24385.vcf.gz	HG002_12_convGRCh38_Ion_AmpliseqExome.20141120.NA24385.bed	Ion_Annotations_160408.txt	1	1	1	1	1	0	1
Solid	SolidSE75bp	SolidSE75GATKHC	HG002_12_convGRCh38_solid5500_SE75bp_GATKHC.vcf.gz	none	GATK_Annotations_160509.txt	1	1	1	1	1	1	1
