#Platform	Dataset	Callset	vcfAll	callableBed	annotationsFile	HG002_HG003_HG004_allsvs_merged.bed	AllRepeats_gt200bp_gt95identity_merged_sort.bed	hg19_self_chain_split_withalts_gt10k.bed.gz	SimpleRepeat_imperfecthomopolgt10_slop5.bed.gz	superdupsmerged_all_sort.bed	mm-2-merged.bed	AllRepeats_lt51bp_gt95identity_merged_slop5.bed.gz	AllRepeats_51to200bp_gt95identity_merged_slop5.bed.gz
Illumina	HiSeqPE300x	HiSeqPE300xGATK	HG002_12_hs37d5_novoalign_Ilmn150bp300X_GATKHC.vcf.gz	HG002_12_hs37d5_novoalign_Ilmn150bp300X_GATKHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	0	1	1	0	0
CG	CGnormal	CGnormal	vcfBeta-GS000037263-ASM_12.vcf.gz	vcfBeta-GS000037263-ASM_callable_12.bed	CG_Annotations_160408.txt	1	1	1	1	1	1	0	1
Illumina	HiSeqPE300x	HiSeqPE300xfreebayes	HG002_12_hs37d5_novoalign_Ilmn150bp300X_FB.vcf.gz	HG002_12_hs37d5_novoalign_Ilmn150bp300X_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250GATK	HG002_12_hs37d5_novoalign_Ilmn250x250_GATKHC.vcf.gz	HG002_12_hs37d5_novoalign_Ilmn250x250_GATKHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	0	1	1	0	0
Illumina	HiSeq250x250	HiSeq250x250freebayes	HG002_12_hs37d5_novoalign_Ilmn250x250_FB.vcf.gz	HG002_12_hs37d5_novoalign_Ilmn250x250_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1
10X	10XChromium	10XGATKhaplo	HG002_12_10X_GATKHCbyhaplo.vcf.gz	HG002_12_10X_GATKHCbyhaplo_callable.bed	GATK_Annotations_160509.txt	1	1	0	1	1	0	1	1
Illumina	HiSeqMatePair	HiSeqMatePairGATK	HG002_12_hg19_bwa_mem_IlmnMatePair_GATKHC.vcf.gz	HG002_12_hg19_bwa_mem_IlmnMatePair_GATKHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairfreebayes	HG002_12_hg19_bwa_mem_IlmnMatePair_FB.vcf.gz	HG002_12_hg19_bwa_mem_IlmnMatePair_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1
Ion	IonExome	IonExomeTVC	AmpliseqExome.20141120.NA24385_12.vcf.gz	AmpliseqExome.20141120.NA24385_callable_12.bed	Ion_Annotations_160408.txt	1	1	1	1	1	1	0	1
Solid	SolidSE75bp	SolidSE75GATKHC	HG002_12_hg19_solid5500_SE75bp_GATKHC.vcf.gz	none	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1
