#Platform	Dataset	Callset	vcfAll	callableBed	annotationsFile	AllTandemRepeats_lt51bp_slop5.bed	AllTandemRepeats_51to200bp_slop5.bed	AllTandemRepeats_201to10000bp_slop5.bed	AllTandemRepeats_gt10000bp_slop5.bed	AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed	SimpleRepeat_imperfecthomopolgt10_slop5.bed	lowmappabilityall_GRCh38equivalent.bed.gz	hg19.segdups_sorted_merged.bed.gz	segdups_chr1_22_gte_10kb_identity_gte_990_segdups_counts_gt_5.bed	mm-2-merged.bed	L1Hs_gt500.bed	mrcanavar_intersect_ccs_1000_window_size_cnv_threshold_intersect_ont_1000_window_size_cnv_threshold.bed	union_HG002_CCS_15kb_20kb_merged_ONT_1000_window_size_combined_elliptical_outlier_threshold.bed	HG2_SKor_TrioONTCanu_intersect_HG2_SKor_TrioONTFlye_intersect_HG2_SKor_CCS15_gt10kb_GRCh37.bed	AJtrio-HG002.hs37d5.300x.bam.bilkentuniv.052119.dups.bed	expanded_150_HG002_SVs_Tier1plusTier2_v0.6.1.bed	hsd37d5.112719.inversions_slop150_chr1_22.bed	hg19.vdj.bed	hs37d5_hg38_minimap2_asm20_N10_nocovgt1kb.bed	hs37d5_hg38_minimap2_asm20_N10_gt1contig_gt1kb.bed	SP_SPonly_primary_assm_alignments_sorted_merged.bed	example_of_no_ref_regions_input_file_b37_bedtools_slop_15kb_merged.bed	hg19.contigs.1-22.lt_500kb.bed
Illumina	HiSeqPE300x	HiSeqPE300xGATK	HG002_15_hs37d5_novoalign_Ilmn150bp300X_GATKHC.vcf.gz	HG002_15_hs37d5_novoalign_Ilmn150bp300X_GATKHC_gvcf_callable.bed	GATK_Annotations_160509.txt	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PacBio	CCS15kb_20kb	CCS15kb_20kbDV	deepvariant_HG002_15_15kb_20kb_52X_SequelII_multialleles_removed.vcf.gz	HG002_CCS_15kb_20kb_merged_15_HP_separation_merged_50bp_remove_multialleles_remove_refcall_qg_lt_40.bed	DeepVariant_Annotations.txt	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1
10X	10XChromiumLR	10XLRGATK	NA24385.GRCh37.15_phased_variants_questionable_indel_remove_50bp.vcf.gz	NA24385.GRCh37.15_haplotype_separation_merged_50bp_depth84perHP_totalmaxdepth169_questionable_indel_remove_50bp.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1
PacBio	CCS15kb_20kb	CCS15kb_20kbGATK4	gatk4hc_HG002_15_15kb_20kb_52X_SequelII.vcf.gz	HG002_CCS_15kb_20kb_merged_GRCh37_15_HP_separation_MAPQ20_merged_50bp.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1
CG	CGnormal	CGnormal	vcfBeta-GS000037263-ASM_15.vcf.gz	vcfBeta-GS000037263-ASM_callable_15.bed	CG_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqPE300x	HiSeqPE300xfreebayes	HG002_15_hs37d5_novoalign_Ilmn150bp300X_FB.vcf.gz	HG002_15_hs37d5_novoalign_Ilmn150bp300X_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250GATK	HG002_15_hs37d5_novoalign_Ilmn250x250_GATKHC.vcf.gz	HG002_15_hs37d5_novoalign_Ilmn250x250_GATKHC_gvcf_callable.bed	GATK_Annotations_160509.txt	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250freebayes	HG002_15_hs37d5_novoalign_Ilmn250x250_FB.vcf.gz	HG002_15_hs37d5_novoalign_Ilmn250x250_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairGATK	HG002_15_hg19_bwa_mem_IlmnMatePair_GATKHC.vcf.gz	HG002_15_hg19_bwa_mem_IlmnMatePair_GATKHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairfreebayes	HG002_15_hg19_bwa_mem_IlmnMatePair_FB.vcf.gz	HG002_15_hg19_bwa_mem_IlmnMatePair_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
Ion	IonExome	IonExomeTVC	AmpliseqExome.20141120.NA24385_15.vcf.gz	none	Ion_Annotations_160408.txt	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Solid	SolidSE75bp	SolidSE75GATKHC	HG002_15_hg19_solid5500_SE75bp_GATKHC.vcf.gz	none	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
