#Platform	Dataset	Callset	vcfAll	callableBed	annotationsFile	GRCh38_AllTandemRepeats_lt51bp_slop5.bed	GRCh38_AllTandemRepeats_51to200bp_slop5.bed	GRCh38_AllTandemRepeats_201to10000bp_slop5.bed	GRCh38_AllTandemRepeats_gt10000bp_slop5.bed	GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed	GRCh38_SimpleRepeat_imperfecthomopolgt10_slop5.bed	lowmappabilityall.bed.gz	hg38.segdups_sorted_merged.bed.gz	hg38.segdups_chr1-22_gte_10kb_identity_gte_990_segdups_counts_gt_5.bed	hg38.rmsk.L1H_gt500.bed	GRCh38_HG003_mrcanavar_intersect_ccs_1000_window_size_cnv_threshold_intersect_ont_1000_window_size_cnv_threshold.bed	GRCh38_union_HG003_CCS_15kb_20kb_merged_ONT_1000_window_size_combined_elliptical_outlier_threshold.bed	HG2_SKor_TrioONTCanu_intersect_HG2_SKor_TrioONTFlye_intersect_HG2_SKor_CCS15_gt10kb_GRCh38.bed	AJtrio-HG003.hg38.300x.bam.bilkentuniv.072319.dups.bed	expanded_150_GRCh38_remapped_HG002_SVs_Tier1plusTier2_v0.6.1.bed	GRCh38.inversions_slop150_chr1_22.bed	hg38.vdj.bed	genomic_regions_definitions_modeledcentromere.bed	genomic_regions_definitions_heterochrom.bed	GCA_000001405.15_GRCh38_no_alt_plus_hs38d1_analysis_set_REF_N_slop_15kb.bed	hg38.contigs.1-22.lt_500kb.bed
Illumina	HiSeqPE300x	HiSeqPE300xSentieon	HG003_13_GRCh38_novoalign_Ilmn150bp300X_sentieonHC.vcf.gz	HG003_13_GRCh38_novoalign_Ilmn150bp300X_sentieonHC_gvcf_callable.bed	GATK_Annotations_160509.txt	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PacBio	CCS15kb_20kb	CCS15kb_20kbDV	HG003.pbmm2.GRCh38.DeepVariant.v090_multialleles_removed_13.vcf.gz	HG003_SequelII_GRCh38_merged_15kb_20kb_1_22_HP_separation_merged_50bp_remove_multialleles_remove_refcall_gq_lt_40_13.bed	DeepVariant_Annotations.txt	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1
10X	10XChromiumLR	10XLRGATK	NA24149.phased_variants_questionable_indel_remove_50bp_13.vcf.gz	HG003.GRCh38.haplotype_separation_merged_50bp_depth69perHP_totalmaxdepth138_questionable_indel_remove_50bp_13.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1
PacBio	CCS15kb_20kb	CCS15kb_20kbGATK4	HG003.pbmm2.GRCh38.gatk.MAPQ10_13.vcf.gz	HG003_SequelII_GRCh38_merged_15kb_20kb_1_22_HP_separation_merged_50bp_13.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1
CG	CGnormal	CGnormal	HG003_13_convGRCh38_CG_vcfBeta-GS000037264-ASM.vcf.gz	HG003_13_convGRCh38_CG_vcfBeta-GS000037264-ASM.bed	CG_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqPE300x	HiSeqPE300xfreebayes	HG003_13_GRCh38_novoalign_Ilmn150bp300X_FB.vcf.gz	HG003_13_GRCh38_novoalign_Ilmn150bp300x_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250Sentieon	HG003_13_GRCh38_novoalign_Ilmn250x250_sentieonHC.vcf.gz	HG003_13_GRCh38_novoalign_Ilmn250x250_sentieonHC_gvcf_callable.bed	GATK_Annotations_160509.txt	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250freebayes	HG003_13_GRCh38_novoalign_Ilmn250x250_FB.vcf.gz	HG003_13_GRCh38_novoalign_Ilmn250x250_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairSentieon	HG003_13_GRCh38_bwa_mem_IlmnMatePair_sentieonHC.vcf.gz	HG003_13_GRCh38_bwa_mem_IlmnMatePair_sentieonHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairfreebayes	HG003_13_GRCh38_bwa_mem_IlmnMatePair_FB.vcf.gz	HG003_13_GRCh38_bwa_mem_IlmnMatePair_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Ion	IonExome	IonExomeTVC	HG003_13_convGRCh38_Ion_AmpliseqExome.20141120.NA24149.vcf.gz	none	Ion_Annotations_160408.txt	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
