#Platform	Dataset	Callset	vcfAll	callableBed	annotationsFile	AllTandemRepeats_lt51bp_slop5.bed	AllTandemRepeats_51to200bp_slop5.bed	AllTandemRepeats_201to10000bp_slop5.bed	AllTandemRepeats_gt10000bp_slop5.bed	AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed	SimpleRepeat_imperfecthomopolgt10_slop5.bed	lowmappabilityall_GRCh38equivalent.bed.gz	hg19.segdups_sorted_merged.bed.gz	segdups_chr1_22_gte_10kb_identity_gte_990_segdups_counts_gt_5.bed	mm-2-merged.bed	L1Hs_gt500.bed	HG005_GRCh37_mrcanavar_intersect_PacBio_HiFi_cnv_threshold_intersect_ONT_cnv_threshold.bed	HG005_GRCh37_PacBio_HiFi_1000_window_size_ONT_1000_combined_elliptical_outlier_threshold.bed	Chinese-trio-HG005.hs37d5.300x.bam.bilkentuniv.052119.dups.bed	HG005_GRCh37_union_SVs_repeatexpanded_slop50_merge1000_expanded_150_percent.bed	HG005_GRCh37_inversions_slop150_chr1_22.bed	hg19.vdj.bed	hs37d5_hg38_minimap2_asm20_N10_nocovgt1kb.bed	hs37d5_hg38_minimap2_asm20_N10_gt1contig_gt1kb.bed	SP_SPonly_primary_assm_alignments_sorted_merged.bed	example_of_no_ref_regions_input_file_b37_bedtools_slop_15kb_merged.bed	hg19.contigs.1-22.lt_500kb.bed
Illumina	HiSeqPE300x	HiSeqPE300xGATK	HG005_16_hs37d5_novoalign_Ilmn250x250_300x_GATKHC.vcf.gz	HG005_16_hs37d5_novoalign_Ilmn250x250_300x_GATKHC_gvcf_callable.bed	GATK_Annotations_160509.txt	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PacBio	CCS15kb_20kb	CCS15kb_20kbDV	HG005_GRCh37_deepvariant_multialleles_removed_16.vcf.gz	HG005_GRCh37_PacBio_HiFi_HP_separation_merged_50bp_remove_multialleles_remove_refcall_gq_lt_40_16.bed	DeepVariant_Annotations.txt	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1
10X	10XChromiumLR	10XLRGATK	NA24631_LongRanger_snpindel_questionable_indel_remove_50bp_16.vcf.gz	HG005_GRCh37_chr1_22_haplotype_separation_merged_50bp_depth53perHP_totalmaxdepth106_questionable_indel_remove_50bp_16.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1
PacBio	CCS15kb_20kb	CCS15kb_20kbGATK4	HG005.hs37d5.gatk_hc_16.vcf.gz	HG005_GRCh37_PacBio_HiFi_HP_separation_merged_50bp_16.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1
CG	CGnormal	CGnormal	vcfBeta-GS000037265-ASM_16.vcf.gz	vcfBeta-GS000037265-ASM_callable_16.bed	CG_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqPE300x	HiSeqPE300xfreebayes	HG005_16_hs37d5_novoalign_Ilmn250x250_300x_FB.vcf.gz	HG005_16_hs37d5_novoalign_Ilmn250x250_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairGATK	HG005_16_hg19_bwa_mem_IlmnMatePair_GATKHC.vcf.gz	HG005_16_hg19_bwa_mem_IlmnMatePair_GATKHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairfreebayes	HG005_16_hg19_bwa_mem_IlmnMatePair_FB.vcf.gz	HG005_16_hg19_bwa_mem_IlmnMatePair_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Ion	IonExome	IonExomeTVC	AmpliseqExome.20141120.NA24631_16.vcf.gz	none	Ion_Annotations_160408.txt	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Solid	SolidSE75bp	SolidSE75GATKHC	HG005_16_hg19_solid5500_SE75bp_GATKHC.vcf.gz	none	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
