#Platform	Dataset	Callset	vcfAll	callableBed	annotationsFile	GRCh38_AllTandemRepeats_lt51bp_slop5.bed	GRCh38_AllTandemRepeats_51to200bp_slop5.bed	GRCh38_AllTandemRepeats_201to10000bp_slop5.bed	GRCh38_AllTandemRepeats_gt10000bp_slop5.bed	GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed	GRCh38_SimpleRepeat_imperfecthomopolgt10_slop5.bed	lowmappabilityall.bed.gz	hg38.segdups_sorted_merged.bed.gz	hg38.segdups_chr1-22_gte_10kb_identity_gte_990_segdups_counts_gt_5.bed	hg38.rmsk.L1H_gt500.bed	HG005_GRCh38_mrcanavar_intersect_PacBio_HiFi_1000_window_size_cnv_threshold_intersect_ONT_1000_window_size_cnv_threshold.bed	HG005_GRCh38_union_PacBio_HiFi_ONT_1000_window_size_combined_elliptical_outlier_threshold.bed	Chinesetrio-HG005.hg38.300x.bam.bilkentuniv.072319.dups.bed	HG005_GRCh38_union_SVs_repeatexpanded_slop50_merge1000_expanded_150_percent.bed	HG005_GRCh38_inversions_slop150_chr1_22.bed	hg38.vdj.bed	genomic_regions_definitions_modeledcentromere.bed	genomic_regions_definitions_heterochrom.bed	GCA_000001405.15_GRCh38_no_alt_plus_hs38d1_analysis_set_REF_N_slop_15kb.bed	hg38.contigs.1-22.lt_500kb.bed
Illumina	HiSeq250x250	HiSeq250x250Sentieon	HG005_19_GRCh38_novoalign_Ilmn250x250_sentieonHC.vcf.gz	HG005_19_GRCh38_novoalign_Ilmn250x250_sentieonHC_gvcf_callable.bed	GATK_Annotations_160509.txt	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PacBio	CCS15kb_20kb	CCS15kb_20kbDV	HG005.GRCh38.deepvariant_multialleles_removed_19.vcf.gz	HG005_GRCh38_PacBio_HiFi_HP_separation_merged_50bp_remove_multialleles_remove_refcall_gq_lt_40_19.bed	DeepVariant_Annotations.txt	0	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1
10X	10XChromiumLR	10XLRGATK	NA24631.GRCh38.phased_variants_questionable_indel_remove_50bp_19.vcf.gz	HG005_GRCh38_chr1_22_haplotype_separation_merged_50bp_depth53perHP_totalmaxdepth106_questionable_indel_remove_50bp_19.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1
PacBio	CCS15kb_20kb	CCS15kb_20kbGATK4	HG005.GRCh38.gatk_hc_19.vcf.gz	HG005_GRCh38_PacBio_HiFi_HP_separation_merged_50bp_19.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1
CG	CGnormal	CGnormal	HG005_19_convGRCh38_CG_vcfBeta-GS000037265-ASM.vcf.gz	HG005_19_convGRCh38_CG_vcfBeta-GS000037265-ASM.bed	CG_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeq250x250	HiSeq250x250freebayes	HG005_19_GRCh38_novoalign_Ilmn250x250_FB.vcf.gz	HG005_19_GRCh38_novoalign_Ilmn250x250_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairSentieon	HG005_19_GRCh38_bwa_mem_IlmnMatePair_sentieonHC.vcf.gz	HG005_19_GRCh38_bwa_mem_IlmnMatePair_sentieonHC_gvcf_callable.bed	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
Illumina	HiSeqMatePair	HiSeqMatePairfreebayes	HG005_19_GRCh38_bwa_mem_IlmnMatePair_FB.vcf.gz	HG005_19_GRCh38_bwa_mem_IlmnMatePair_callableloci.bed	Freebayes_Annotations_160408.txt	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
Ion	IonExome	IonExomeTVC	HG005_19_convGRCh38_Ion_AmpliseqExome.20141120.NA24631.vcf.gz	none	Ion_Annotations_160408.txt	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Solid	SolidSE75bp	SolidSE75GATKHC	HG005_19_convGRCh38_solid5500_SE75bp_GATKHC.vcf.gz	none	GATK_Annotations_160509.txt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
