dataset	med_depth	min_depth	max_depth	mean_depth	maxcov
HG006_1_GRCh37_novoalign_6Kb_MatePair_FB	19	2	186310	36.36429453385417	38
HG006_1_GRCh37_novoalign_Hiseq100X_FB	91	2	15171	93.54531258333616	182
HG006_1_GRCh38_novoalign_6Kb_MatePair_FB	18	2	22685	24.20980817606315	36
HG006_1_GRCh38_novoalign_Hiseq100X_FB	89	1	455338	112.35411149203713	178
HG007_1_GRCh37_novoalign_6Kb_MatePair_FB	18	1	202736	38.12094436127926	36
HG007_1_GRCh37_novoalign_Hiseq100X_FB	91	1	7321	94.16623864102435	182
HG007_1_GRCh38_novoalign_6Kb_MatePair_FB	17	1	26551	24.62147364470916	34
HG007_1_GRCh38_novoalign_Hiseq100X_FB	90	1	497810	119.02908719219663	180
